id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
4868;4;0;0;0;1;0;0;0;0;0;1;0;0;2;386.9712
4869;7;1;0;1;0;0;0;0;0;1;0;0;0;3;360.3307095
4870;5;0;0;1;0;0;0;2;0;1;0;0;0;4;369.9241363
4871;7;0;0;0;1;0;0;0;0;0;1;0;0;2;386.9712
4872;5;0;0;0;1;0;0;0;0;0;0;0;1;2;386.9712
4873;8;0;1;1;0;0;0;0;0;1;0;0;0;3;360.3307095
4874;3;0;0;1;1;0;0;0;1;1;0;0;0;4;369.9241363
4875;1;0;0;0;1;0;0;0;2;0;1;0;0;4;369.9241363
4876;5;0;1;0;0;0;0;0;0;0;1;0;0;2;386.9712
4877;8;0;0;0;0;0;0;0;0;0;1;0;0;1;457.517035
4878;5;0;0;0;0;0;1;0;0;0;0;1;0;2;386.9712
4879;6;1;0;1;0;0;0;0;0;1;0;0;0;3;360.3307095
4880;2;0;0;1;1;0;0;0;1;0;1;0;0;4;369.9241363
4881;4;0;0;0;1;0;0;0;0;2;1;0;0;4;369.9241363
4882;7;1;0;1;0;0;0;1;0;1;0;1;0;5;317.0452195
4883;7;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
4884;2;0;1;0;1;0;0;0;0;1;0;0;0;3;360.3307095
4885;1;0;1;1;0;0;0;0;1;0;0;0;0;3;360.3307095
4886;1;0;0;1;0;0;0;1;1;1;0;0;0;4;369.9241363
4887;3;0;0;0;1;0;1;0;0;1;0;0;1;4;369.9241363
4888;8;0;0;0;1;0;0;0;2;0;1;0;0;4;369.9241363
4889;6;0;1;0;0;0;0;0;0;0;1;0;0;2;386.9712
4890;1;0;0;1;0;0;0;0;1;1;0;0;0;3;360.3307095
4891;8;1;0;1;0;0;0;0;1;1;0;0;0;4;369.9241363
4892;5;0;0;1;0;0;0;0;2;1;0;0;0;4;369.9241363
4893;6;0;0;0;0;0;0;0;0;0;1;0;0;1;457.517035
4894;3;0;0;0;0;1;0;0;0;0;0;0;1;2;386.9712
4895;3;0;0;1;0;0;0;0;0;1;0;0;0;2;386.9712
4896;7;0;0;1;0;0;1;1;0;1;0;0;1;5;317.0452195
4897;2;0;0;0;1;0;0;0;0;0;0;0;1;2;386.9712
4898;8;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4899;7;1;0;1;0;0;0;1;1;1;0;0;0;5;317.0452195
4900;8;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4901;4;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4902;5;0;0;0;0;0;0;0;0;1;0;1;0;2;386.9712
