id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
3210;6;0;0;0;0;0;0;0;0;0;0;1;0;1;457.517035
3211;4;0;0;0;0;0;1;0;0;0;0;0;0;1;457.517035
3212;4;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3213;2;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
3214;4;1;0;1;0;0;0;0;0;1;0;0;0;3;360.3307095
3215;3;0;0;1;0;0;0;0;0;0;0;1;1;3;360.3307095
3216;5;0;1;0;1;0;0;0;0;0;1;0;0;3;360.3307095
3217;3;0;0;2;1;0;0;0;0;0;1;0;0;4;369.9241363
3218;1;1;1;0;0;0;0;0;0;1;0;0;1;4;369.9241363
3219;3;0;0;1;0;1;0;0;1;0;0;1;0;4;369.9241363
3220;4;0;1;1;0;0;0;1;0;1;0;0;0;4;369.9241363
3221;2;0;0;1;0;1;0;1;0;1;0;1;0;5;317.0452195
3222;5;0;0;2;0;1;0;0;0;1;0;1;0;5;317.0452195
3223;5;0;0;1;0;0;0;0;0;0;0;0;1;2;386.9712
3224;3;0;0;0;0;0;0;0;0;0;1;0;0;1;457.517035
3225;3;0;0;0;0;0;0;0;0;1;0;1;0;2;386.9712
3226;1;0;0;1;0;0;0;0;0;0;0;1;0;2;386.9712
3227;3;0;1;0;0;0;0;0;0;0;1;0;1;3;360.3307095
3228;4;0;0;0;1;0;0;0;2;0;1;0;0;4;369.9241363
3229;3;0;0;1;0;0;0;0;0;1;0;0;0;2;386.9712
3230;6;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
3231;1;0;0;0;0;0;1;0;0;0;0;0;0;1;457.517035
3232;6;0;1;0;1;0;0;0;1;0;1;0;0;4;369.9241363
3233;6;0;0;0;0;1;0;0;0;0;0;0;1;2;386.9712
3234;2;0;0;1;0;0;0;0;1;1;0;0;0;3;360.3307095
3235;1;1;0;1;0;0;0;1;0;1;0;0;0;4;369.9241363
3236;6;1;0;1;0;0;0;1;0;1;0;0;0;4;369.9241363
3237;5;0;0;0;0;0;1;0;0;0;0;0;0;1;457.517035
3238;1;0;0;1;0;1;0;0;1;0;1;0;0;4;369.9241363
